Performing comparison of pixels in images/star_mask.png in images/StarStrip.png at row: 0 and col: 0, with tolerance = 16.
Msk-Row	Msk-Col	Main-pixel	Mask-pixel	BlkCnt	SumRed	SumGrn	SumBlue
0	0	(60,59,110)	(255,255,255)	0	0	0	0
0	1	(60,59,110)	(255,255,255)	0	0	0	0
0	2	(60,59,110)	(255,255,255)	0	0	0	0
0	3	(60,59,110)	(255,255,255)	0	0	0	0
0	4	(60,59,110)	(255,255,255)	0	0	0	0
0	5	(60,59,110)	(255,255,255)	0	0	0	0
0	6	(60,59,110)	(255,255,255)	0	0	0	0
0	7	(60,59,110)	(255,255,255)	0	0	0	0
0	8	(60,59,110)	(255,255,255)	0	0	0	0
0	9	(60,59,110)	(255,255,255)	0	0	0	0
0	10	(60,59,110)	(255,255,255)	0	0	0	0
0	11	(60,59,110)	(255,255,255)	0	0	0	0
0	12	(60,59,110)	(255,255,255)	0	0	0	0
0	13	(60,59,110)	(255,255,255)	0	0	0	0
0	14	(60,59,110)	(255,255,255)	0	0	0	0
0	15	(60,59,110)	(255,255,255)	0	0	0	0
0	16	(60,59,110)	(255,255,255)	0	0	0	0
0	17	(60,59,110)	(255,255,255)	0	0	0	0
0	18	(60,59,110)	(255,255,255)	0	0	0	0
0	19	(60,59,110)	(255,255,255)	0	0	0	0
0	20	(60,59,110)	(255,255,255)	0	0	0	0
0	21	(60,59,110)	(255,255,255)	0	0	0	0
0	22	(60,59,110)	(255,255,255)	0	0	0	0
0	23	(60,59,110)	(255,255,255)	0	0	0	0
0	24	(60,59,110)	(255,255,255)	0	0	0	0
0	25	(60,59,110)	(255,255,255)	0	0	0	0
0	26	(60,59,110)	(255,255,255)	0	0	0	0
0	27	(60,59,110)	(255,255,255)	0	0	0	0
0	28	(60,59,110)	(255,255,255)	0	0	0	0
0	29	(60,59,110)	(255,255,255)	0	0	0	0
0	30	(60,59,110)	(255,255,255)	0	0	0	0
0	31	(60,59,110)	(255,255,255)	0	0	0	0
0	32	(60,59,110)	(255,255,255)	0	0	0	0
0	33	(60,59,110)	(255,255,255)	0	0	0	0
0	34	(60,59,110)	(255,255,255)	0	0	0	0
0	35	(60,59,110)	(255,255,255)	0	0	0	0
0	36	(60,59,110)	(255,255,255)	0	0	0	0
0	37	(60,59,110)	(255,255,255)	0	0	0	0
0	38	(60,59,110)	(255,255,255)	0	0	0	0
0	39	(60,59,110)	(255,255,255)	0	0	0	0
0	40	(60,59,110)	(255,255,255)	0	0	0	0
0	41	(60,59,110)	(255,255,255)	0	0	0	0
0	42	(60,59,110)	(255,255,255)	0	0	0	0
0	43	(60,59,110)	(255,255,255)	0	0	0	0
0	44	(60,59,110)	(255,255,255)	0	0	0	0
0	45	(60,59,110)	(255,255,255)	0	0	0	0
0	46	(60,59,110)	(255,255,255)	0	0	0	0
0	47	(60,59,110)	(255,255,255)	0	0	0	0
0	48	(60,59,110)	(255,255,255)	0	0	0	0
0	49	(60,59,110)	(255,255,255)	0	0	0	0
0	50	(60,59,110)	(255,255,255)	0	0	0	0
0	51	(60,59,110)	(255,255,255)	0	0	0	0
0	52	(60,59,110)	(255,255,255)	0	0	0	0
0	53	(60,59,110)	(255,255,255)	0	0	0	0
0	54	(60,59,110)	(255,255,255)	0	0	0	0
0	55	(60,59,110)	(255,255,255)	0	0	0	0
0	56	(60,59,110)	(255,255,255)	0	0	0	0
0	57	(60,59,110)	(255,255,255)	0	0	0	0
0	58	(60,59,110)	(255,255,255)	0	0	0	0
0	59	(60,59,110)	(255,255,255)	0	0	0	0
0	60	(60,59,110)	(255,255,255)	0	0	0	0
0	61	(60,59,110)	(255,255,255)	0	0	0	0
0	62	(60,59,110)	(255,255,255)	0	0	0	0
Msk-Row	Msk-Col	Main-pixel	Mask-pixel	BlkCnt	SumRed	SumGrn	SumBlue
1	0	(60,59,110)	(255,255,255)	0	0	0	0
1	1	(60,59,110)	(255,255,255)	0	0	0	0
1	2	(60,59,110)	(255,255,255)	0	0	0	0
1	3	(60,59,110)	(255,255,255)	0	0	0	0
1	4	(60,59,110)	(255,255,255)	0	0	0	0
1	5	(60,59,110)	(255,255,255)	0	0	0	0
1	6	(60,59,110)	(255,255,255)	0	0	0	0
1	7	(60,59,110)	(255,255,255)	0	0	0	0
1	8	(60,59,110)	(255,255,255)	0	0	0	0
1	9	(60,59,110)	(255,255,255)	0	0	0	0
1	10	(60,59,110)	(255,255,255)	0	0	0	0
1	11	(60,59,110)	(255,255,255)	0	0	0	0
1	12	(60,59,110)	(255,255,255)	0	0	0	0
1	13	(60,59,110)	(255,255,255)	0	0	0	0
1	14	(60,59,110)	(255,255,255)	0	0	0	0
1	15	(60,59,110)	(255,255,255)	0	0	0	0
1	16	(60,59,110)	(255,255,255)	0	0	0	0
1	17	(60,59,110)	(255,255,255)	0	0	0	0
1	18	(60,59,110)	(255,255,255)	0	0	0	0
1	19	(60,59,110)	(255,255,255)	0	0	0	0
1	20	(60,59,110)	(255,255,255)	0	0	0	0
1	21	(60,59,110)	(255,255,255)	0	0	0	0
1	22	(60,59,110)	(255,255,255)	0	0	0	0
1	23	(60,59,110)	(255,255,255)	0	0	0	0
1	24	(60,59,110)	(255,255,255)	0	0	0	0
1	25	(60,59,110)	(255,255,255)	0	0	0	0
1	26	(60,59,110)	(255,255,255)	0	0	0	0
1	27	(60,59,110)	(255,255,255)	0	0	0	0
1	28	(60,59,110)	(255,255,255)	0	0	0	0
1	29	(60,59,110)	(255,255,255)	0	0	0	0
1	30	(60,59,110)	(255,255,255)	0	0	0	0
1	31	(176,176,196)	(255,255,255)	0	0	0	0
1	32	(60,59,110)	(255,255,255)	0	0	0	0
1	33	(60,59,110)	(255,255,255)	0	0	0	0
1	34	(60,59,110)	(255,255,255)	0	0	0	0
1	35	(60,59,110)	(255,255,255)	0	0	0	0
1	36	(60,59,110)	(255,255,255)	0	0	0	0
1	37	(60,59,110)	(255,255,255)	0	0	0	0
1	38	(60,59,110)	(255,255,255)	0	0	0	0
1	39	(60,59,110)	(255,255,255)	0	0	0	0
1	40	(60,59,110)	(255,255,255)	0	0	0	0
1	41	(60,59,110)	(255,255,255)	0	0	0	0
1	42	(60,59,110)	(255,255,255)	0	0	0	0
1	43	(60,59,110)	(255,255,255)	0	0	0	0
1	44	(60,59,110)	(255,255,255)	0	0	0	0
1	45	(60,59,110)	(255,255,255)	0	0	0	0
1	46	(60,59,110)	(255,255,255)	0	0	0	0
1	47	(60,59,110)	(255,255,255)	0	0	0	0
1	48	(60,59,110)	(255,255,255)	0	0	0	0
1	49	(60,59,110)	(255,255,255)	0	0	0	0
1	50	(60,59,110)	(255,255,255)	0	0	0	0
1	51	(60,59,110)	(255,255,255)	0	0	0	0
1	52	(60,59,110)	(255,255,255)	0	0	0	0
1	53	(60,59,110)	(255,255,255)	0	0	0	0
1	54	(60,59,110)	(255,255,255)	0	0	0	0
1	55	(60,59,110)	(255,255,255)	0	0	0	0
1	56	(60,59,110)	(255,255,255)	0	0	0	0
1	57	(60,59,110)	(255,255,255)	0	0	0	0
1	58	(60,59,110)	(255,255,255)	0	0	0	0
1	59	(60,59,110)	(255,255,255)	0	0	0	0
1	60	(60,59,110)	(255,255,255)	0	0	0	0
1	61	(60,59,110)	(255,255,255)	0	0	0	0
1	62	(60,59,110)	(255,255,255)	0	0	0	0
Msk-Row	Msk-Col	Main-pixel	Mask-pixel	BlkCnt	SumRed	SumGrn	SumBlue
2	0	(60,59,110)	(255,255,255)	0	0	0	0
2	1	(60,59,110)	(255,255,255)	0	0	0	0
2	2	(60,59,110)	(255,255,255)	0	0	0	0
2	3	(60,59,110)	(255,255,255)	0	0	0	0
2	4	(60,59,110)	(255,255,255)	0	0	0	0
2	5	(60,59,110)	(255,255,255)	0	0	0	0
2	6	(60,59,110)	(255,255,255)	0	0	0	0
2	7	(60,59,110)	(255,255,255)	0	0	0	0
2	8	(60,59,110)	(255,255,255)	0	0	0	0
2	9	(60,59,110)	(255,255,255)	0	0	0	0
2	10	(60,59,110)	(255,255,255)	0	0	0	0
2	11	(60,59,110)	(255,255,255)	0	0	0	0
2	12	(60,59,110)	(255,255,255)	0	0	0	0
2	13	(60,59,110)	(255,255,255)	0	0	0	0
2	14	(60,59,110)	(255,255,255)	0	0	0	0
2	15	(60,59,110)	(255,255,255)	0	0	0	0
2	16	(60,59,110)	(255,255,255)	0	0	0	0
2	17	(60,59,110)	(255,255,255)	0	0	0	0
2	18	(60,59,110)	(255,255,255)	0	0	0	0
2	19	(60,59,110)	(255,255,255)	0	0	0	0
2	20	(60,59,110)	(255,255,255)	0	0	0	0
2	21	(60,59,110)	(255,255,255)	0	0	0	0
2	22	(60,59,110)	(255,255,255)	0	0	0	0
2	23	(60,59,110)	(255,255,255)	0	0	0	0
2	24	(60,59,110)	(255,255,255)	0	0	0	0
2	25	(60,59,110)	(255,255,255)	0	0	0	0
2	26	(60,59,110)	(255,255,255)	0	0	0	0
2	27	(60,59,110)	(255,255,255)	0	0	0	0
2	28	(60,59,110)	(255,255,255)	0	0	0	0
2	29	(60,59,110)	(255,255,255)	0	0	0	0
2	30	(123,123,157)	(255,255,255)	0	0	0	0
2	31	(243,243,246)	(255,255,255)	0	0	0	0
2	32	(60,59,110)	(255,255,255)	0	0	0	0
2	33	(60,59,110)	(255,255,255)	0	0	0	0
2	34	(60,59,110)	(255,255,255)	0	0	0	0
2	35	(60,59,110)	(255,255,255)	0	0	0	0
2	36	(60,59,110)	(255,255,255)	0	0	0	0
2	37	(60,59,110)	(255,255,255)	0	0	0	0
2	38	(60,59,110)	(255,255,255)	0	0	0	0
2	39	(60,59,110)	(255,255,255)	0	0	0	0
2	40	(60,59,110)	(255,255,255)	0	0	0	0
2	41	(60,59,110)	(255,255,255)	0	0	0	0
2	42	(60,59,110)	(255,255,255)	0	0	0	0
2	43	(60,59,110)	(255,255,255)	0	0	0	0
2	44	(60,59,110)	(255,255,255)	0	0	0	0
2	45	(60,59,110)	(255,255,255)	0	0	0	0
2	46	(60,59,110)	(255,255,255)	0	0	0	0
2	47	(60,59,110)	(255,255,255)	0	0	0	0
2	48	(60,59,110)	(255,255,255)	0	0	0	0
2	49	(60,59,110)	(255,255,255)	0	0	0	0
2	50	(60,59,110)	(255,255,255)	0	0	0	0
2	51	(60,59,110)	(255,255,255)	0	0	0	0
2	52	(60,59,110)	(255,255,255)	0	0	0	0
2	53	(60,59,110)	(255,255,255)	0	0	0	0
2	54	(60,59,110)	(255,255,255)	0	0	0	0
2	55	(60,59,110)	(255,255,255)	0	0	0	0
2	56	(60,59,110)	(255,255,255)	0	0	0	0
2	57	(60,59,110)	(255,255,255)	0	0	0	0
2	58	(60,59,110)	(255,255,255)	0	0	0	0
2	59	(60,59,110)	(255,255,255)	0	0	0	0
2	60	(60,59,110)	(255,255,255)	0	0	0	0
2	61	(60,59,110)	(255,255,255)	0	0	0	0
2	62	(60,59,110)	(255,255,255)	0	0	0	0
Msk-Row	Msk-Col	Main-pixel	Mask-pixel	BlkCnt	SumRed	SumGrn	SumBlue
3	0	(60,59,110)	(255,255,255)	0	0	0	0
3	1	(60,59,110)	(255,255,255)	0	0	0	0
3	2	(60,59,110)	(255,255,255)	0	0	0	0
3	3	(60,59,110)	(255,255,255)	0	0	0	0
3	4	(60,59,110)	(255,255,255)	0	0	0	0
3	5	(60,59,110)	(255,255,255)	0	0	0	0
3	6	(60,59,110)	(255,255,255)	0	0	0	0
3	7	(60,59,110)	(255,255,255)	0	0	0	0
3	8	(60,59,110)	(255,255,255)	0	0	0	0
3	9	(60,59,110)	(255,255,255)	0	0	0	0
3	10	(60,59,110)	(255,255,255)	0	0	0	0
3	11	(60,59,110)	(255,255,255)	0	0	0	0
3	12	(60,59,110)	(255,255,255)	0	0	0	0
3	13	(60,59,110)	(255,255,255)	0	0	0	0
3	14	(60,59,110)	(255,255,255)	0	0	0	0
3	15	(60,59,110)	(255,255,255)	0	0	0	0
3	16	(60,59,110)	(255,255,255)	0	0	0	0
3	17	(60,59,110)	(255,255,255)	0	0	0	0
3	18	(60,59,110)	(255,255,255)	0	0	0	0
3	19	(60,59,110)	(255,255,255)	0	0	0	0
3	20	(60,59,110)	(255,255,255)	0	0	0	0
3	21	(60,59,110)	(255,255,255)	0	0	0	0
3	22	(60,59,110)	(255,255,255)	0	0	0	0
3	23	(60,59,110)	(255,255,255)	0	0	0	0
3	24	(60,59,110)	(255,255,255)	0	0	0	0
3	25	(60,59,110)	(255,255,255)	0	0	0	0
3	26	(60,59,110)	(255,255,255)	0	0	0	0
3	27	(60,59,110)	(255,255,255)	0	0	0	0
3	28	(60,59,110)	(255,255,255)	0	0	0	0
3	29	(60,59,110)	(255,255,255)	0	0	0	0
3	30	(188,187,205)	(255,255,255)	0	0	0	0
3	31	(255,255,255)	(255,255,255)	0	0	0	0
3	32	(115,114,151)	(255,255,255)	0	0	0	0
3	33	(60,59,110)	(255,255,255)	0	0	0	0
3	34	(60,59,110)	(255,255,255)	0	0	0	0
3	35	(60,59,110)	(255,255,255)	0	0	0	0
3	36	(60,59,110)	(255,255,255)	0	0	0	0
3	37	(60,59,110)	(255,255,255)	0	0	0	0
3	38	(60,59,110)	(255,255,255)	0	0	0	0
3	39	(60,59,110)	(255,255,255)	0	0	0	0
3	40	(60,59,110)	(255,255,255)	0	0	0	0
3	41	(60,59,110)	(255,255,255)	0	0	0	0
3	42	(60,59,110)	(255,255,255)	0	0	0	0
3	43	(60,59,110)	(255,255,255)	0	0	0	0
3	44	(60,59,110)	(255,255,255)	0	0	0	0
3	45	(60,59,110)	(255,255,255)	0	0	0	0
3	46	(60,59,110)	(255,255,255)	0	0	0	0
3	47	(60,59,110)	(255,255,255)	0	0	0	0
3	48	(60,59,110)	(255,255,255)	0	0	0	0
3	49	(60,59,110)	(255,255,255)	0	0	0	0
3	50	(60,59,110)	(255,255,255)	0	0	0	0
3	51	(60,59,110)	(255,255,255)	0	0	0	0
3	52	(60,59,110)	(255,255,255)	0	0	0	0
3	53	(60,59,110)	(255,255,255)	0	0	0	0
3	54	(60,59,110)	(255,255,255)	0	0	0	0
3	55	(60,59,110)	(255,255,255)	0	0	0	0
3	56	(60,59,110)	(255,255,255)	0	0	0	0
3	57	(60,59,110)	(255,255,255)	0	0	0	0
3	58	(60,59,110)	(255,255,255)	0	0	0	0
3	59	(60,59,110)	(255,255,255)	0	0	0	0
3	60	(60,59,110)	(255,255,255)	0	0	0	0
3	61	(60,59,110)	(255,255,255)	0	0	0	0
3	62	(60,59,110)	(255,255,255)	0	0	0	0
Msk-Row	Msk-Col	Main-pixel	Mask-pixel	BlkCnt	SumRed	SumGrn	SumBlue
4	0	(60,59,110)	(255,255,255)	0	0	0	0
4	1	(60,59,110)	(255,255,255)	0	0	0	0
4	2	(60,59,110)	(255,255,255)	0	0	0	0
4	3	(60,59,110)	(255,255,255)	0	0	0	0
4	4	(60,59,110)	(255,255,255)	0	0	0	0
4	5	(60,59,110)	(255,255,255)	0	0	0	0
4	6	(60,59,110)	(255,255,255)	0	0	0	0
4	7	(60,59,110)	(255,255,255)	0	0	0	0
4	8	(60,59,110)	(255,255,255)	0	0	0	0
4	9	(60,59,110)	(255,255,255)	0	0	0	0
4	10	(60,59,110)	(255,255,255)	0	0	0	0
4	11	(60,59,110)	(255,255,255)	0	0	0	0
4	12	(60,59,110)	(255,255,255)	0	0	0	0
4	13	(60,59,110)	(255,255,255)	0	0	0	0
4	14	(60,59,110)	(255,255,255)	0	0	0	0
4	15	(60,59,110)	(255,255,255)	0	0	0	0
4	16	(60,59,110)	(255,255,255)	0	0	0	0
4	17	(60,59,110)	(255,255,255)	0	0	0	0
4	18	(60,59,110)	(255,255,255)	0	0	0	0
4	19	(60,59,110)	(255,255,255)	0	0	0	0
4	20	(60,59,110)	(255,255,255)	0	0	0	0
4	21	(60,59,110)	(255,255,255)	0	0	0	0
4	22	(60,59,110)	(255,255,255)	0	0	0	0
4	23	(60,59,110)	(255,255,255)	0	0	0	0
4	24	(60,59,110)	(255,255,255)	0	0	0	0
4	25	(60,59,110)	(255,255,255)	0	0	0	0
4	26	(60,59,110)	(255,255,255)	0	0	0	0
4	27	(60,59,110)	(255,255,255)	0	0	0	0
4	28	(60,59,110)	(255,255,255)	0	0	0	0
4	29	(60,59,110)	(255,255,255)	0	0	0	0
4	30	(245,245,248)	(255,255,255)	0	0	0	0
4	31	(255,255,255)	(0,0,0)	1	255	255	255
4	32	(179,179,199)	(0,0,0)	2	434	434	454
4	33	(60,59,110)	(255,255,255)	2	434	434	454
4	34	(60,59,110)	(255,255,255)	2	434	434	454
4	35	(60,59,110)	(255,255,255)	2	434	434	454
4	36	(60,59,110)	(255,255,255)	2	434	434	454
4	37	(60,59,110)	(255,255,255)	2	434	434	454
4	38	(60,59,110)	(255,255,255)	2	434	434	454
4	39	(60,59,110)	(255,255,255)	2	434	434	454
4	40	(60,59,110)	(255,255,255)	2	434	434	454
4	41	(60,59,110)	(255,255,255)	2	434	434	454
4	42	(60,59,110)	(255,255,255)	2	434	434	454
4	43	(60,59,110)	(255,255,255)	2	434	434	454
4	44	(60,59,110)	(255,255,255)	2	434	434	454
4	45	(60,59,110)	(255,255,255)	2	434	434	454
4	46	(60,59,110)	(255,255,255)	2	434	434	454
4	47	(60,59,110)	(255,255,255)	2	434	434	454
4	48	(60,59,110)	(255,255,255)	2	434	434	454
4	49	(60,59,110)	(255,255,255)	2	434	434	454
4	50	(60,59,110)	(255,255,255)	2	434	434	454
4	51	(60,59,110)	(255,255,255)	2	434	434	454
4	52	(60,59,110)	(255,255,255)	2	434	434	454
4	53	(60,59,110)	(255,255,255)	2	434	434	454
4	54	(60,59,110)	(255,255,255)	2	434	434	454
4	55	(60,59,110)	(255,255,255)	2	434	434	454
4	56	(60,59,110)	(255,255,255)	2	434	434	454
4	57	(60,59,110)	(255,255,255)	2	434	434	454
4	58	(60,59,110)	(255,255,255)	2	434	434	454
4	59	(60,59,110)	(255,255,255)	2	434	434	454
4	60	(60,59,110)	(255,255,255)	2	434	434	454
4	61	(60,59,110)	(255,255,255)	2	434	434	454
4	62	(60,59,110)	(255,255,255)	2	434	434	454
Msk-Row	Msk-Col	Main-pixel	Mask-pixel	BlkCnt	SumRed	SumGrn	SumBlue
5	0	(60,59,110)	(255,255,255)	2	434	434	454
5	1	(60,59,110)	(255,255,255)	2	434	434	454
5	2	(60,59,110)	(255,255,255)	2	434	434	454
5	3	(60,59,110)	(255,255,255)	2	434	434	454
5	4	(60,59,110)	(255,255,255)	2	434	434	454
5	5	(60,59,110)	(255,255,255)	2	434	434	454
5	6	(60,59,110)	(255,255,255)	2	434	434	454
5	7	(60,59,110)	(255,255,255)	2	434	434	454
5	8	(60,59,110)	(255,255,255)	2	434	434	454
5	9	(60,59,110)	(255,255,255)	2	434	434	454
5	10	(60,59,110)	(255,255,255)	2	434	434	454
5	11	(60,59,110)	(255,255,255)	2	434	434	454
5	12	(60,59,110)	(255,255,255)	2	434	434	454
5	13	(60,59,110)	(255,255,255)	2	434	434	454
5	14	(60,59,110)	(255,255,255)	2	434	434	454
5	15	(60,59,110)	(255,255,255)	2	434	434	454
5	16	(60,59,110)	(255,255,255)	2	434	434	454
5	17	(60,59,110)	(255,255,255)	2	434	434	454
5	18	(60,59,110)	(255,255,255)	2	434	434	454
5	19	(60,59,110)	(255,255,255)	2	434	434	454
5	20	(60,59,110)	(255,255,255)	2	434	434	454
5	21	(60,59,110)	(255,255,255)	2	434	434	454
5	22	(60,59,110)	(255,255,255)	2	434	434	454
5	23	(60,59,110)	(255,255,255)	2	434	434	454
5	24	(60,59,110)	(255,255,255)	2	434	434	454
5	25	(60,59,110)	(255,255,255)	2	434	434	454
5	26	(60,59,110)	(255,255,255)	2	434	434	454
5	27	(60,59,110)	(255,255,255)	2	434	434	454
5	28	(60,59,110)	(255,255,255)	2	434	434	454
5	29	(120,119,154)	(255,255,255)	2	434	434	454
5	30	(255,255,255)	(255,255,255)	2	434	434	454
5	31	(255,255,255)	(0,0,0)	3	689	689	709
5	32	(240,240,244)	(0,0,0)	4	929	929	953
5	33	(60,59,110)	(255,255,255)	4	929	929	953
5	34	(60,59,110)	(255,255,255)	4	929	929	953
5	35	(60,59,110)	(255,255,255)	4	929	929	953
5	36	(60,59,110)	(255,255,255)	4	929	929	953
5	37	(60,59,110)	(255,255,255)	4	929	929	953
5	38	(60,59,110)	(255,255,255)	4	929	929	953
5	39	(60,59,110)	(255,255,255)	4	929	929	953
5	40	(60,59,110)	(255,255,255)	4	929	929	953
5	41	(60,59,110)	(255,255,255)	4	929	929	953
5	42	(60,59,110)	(255,255,255)	4	929	929	953
5	43	(60,59,110)	(255,255,255)	4	929	929	953
5	44	(60,59,110)	(255,255,255)	4	929	929	953
5	45	(60,59,110)	(255,255,255)	4	929	929	953
5	46	(60,59,110)	(255,255,255)	4	929	929	953
5	47	(60,59,110)	(255,255,255)	4	929	929	953
